patient_id,coordinates,cluster_id
204,"(5.492758829024921, 1.3999141326828748)",5
205,"(-9.112299285153714, -7.352744394810511)",7
206,"(-2.411709322563552, 9.359203916931419)",3
207,"(-8.917857025040497, 8.105766777455411)",8
208,"(-4.101978125392572, 5.3625932636441895)",15
209,"(3.0292687333444483, 1.156293018730366)",18
210,"(5.6763630947400205, -1.575466007644359)",5
211,"(-2.0113495212803367, 2.686041712287165)",2
212,"(0.02403704488184011, 3.7947052098901572)",2
213,"(5.423033019045226, -0.4406959254788898)",5
214,"(10.443677657518181, 7.648467657714649)",10
215,"(9.499835759988976, 5.111173882497793)",10
216,"(-1.0814738923147007, 2.5360525914275858)",2
217,"(10.089763830747378, -2.0411700886944364)",4
218,"(-10.017971820990573, 7.069171668197523)",8
219,"(-9.692473743450748, 4.532582343701927)",8
220,"(-1.118529646084018, 3.2304376065021683)",2
221,"(-7.02781727800924, 2.278794254661861)",12
222,"(-1.2275609986420215, 1.1827125109844456)",16
223,"(5.9285751274644625, -0.5711506124611947)",5
224,"(-1.8578114671035761, 3.19112261349421)",2
225,"(0.28078315893052963, 6.68400082821044)",11
226,"(-7.511717779113836, 1.9847364480810579)",12
227,"(-2.937967989334878, 2.9690417398154616)",2
228,"(9.962341177042234, -1.8857321704730037)",4
229,"(-8.984031029815283, -8.017064057463264)",7
230,"(-6.722735723078312, 9.191942827156213)",13
231,"(-1.217391344009735, -1.2170091851803209)",16
232,"(-10.331227653066886, -7.95988268543266)",7
233,"(0.8128027118602785, 8.141616423202715)",6
234,"(-8.585447364522706, -6.904543470540308)",7
235,"(-0.6282032495624843, 8.615093667737012)",3
236,"(6.062846120526357, 7.669316857667264)",9
237,"(0.18058131661220206, -2.0370863934746835)",14
238,"(-0.18738022257428955, 5.743126620529449)",11
239,"(11.089052441534486, -4.687343455636753)",4
240,"(-8.188323302037285, 8.91107368205221)",13
241,"(-2.3890383022409507, 3.428617491404917)",2
242,"(-6.292715450569339, 5.676671938304843)",15
243,"(-8.517334560854568, 1.501224504793023)",17
244,"(0.905930458388752, 5.1015822697112325)",0
245,"(4.60091369076508, 2.5517876370318504)",18
246,"(9.307901076469625, 6.819476510264712)",10
247,"(2.2555751048492825, 9.326003871502452)",6
248,"(9.27281727514647, 2.70766388634074)",19
249,"(-1.9322276603739388, 3.5737463266986724)",16
250,"(-10.540681348721433, 5.33364714005719)",8
251,"(-9.133902574349149, 6.7532583724474415)",8
252,"(1.3609996467012586, 4.174360091543096)",18
253,"(-9.075894376616732, 0.4244638421445468)",17
254,"(-8.059020262707492, 2.108111948343149)",12
255,"(7.1834797985995875, 3.7768483855128157)",19
256,"(-4.859350504928703, 4.425851497975094)",15
257,"(7.912636855901898, -2.7096240995380265)",4
258,"(-1.0092133982676654, 8.292776364342094)",3
259,"(5.542037135993943, 8.91634219146674)",9
260,"(-7.258315297528709, 3.1697644824699935)",12
261,"(-3.327815109842949, 5.8255416091279875)",15
262,"(10.991333719686917, 4.193395106132998)",19
263,"(-6.805090204747238, 8.081707330757068)",13
264,"(10.335034812015882, 5.790307308640159)",10
265,"(-2.4319246039908875, 7.888651049599127)",3
266,"(-9.2710153802749, -7.731619827936827)",7
267,"(-9.200891501973672, -7.2685824005773325)",7
268,"(2.784746780341568, 0.4206711897724691)",18
269,"(0.9906422635496384, 6.722250408757327)",11
270,"(-10.920503650948499, 2.9838478830976736)",17
271,"(3.6923286117854994, 2.1271781955774327)",18
272,"(-4.842292894447903, 5.868334549107933)",15
273,"(-8.567633572104823, 10.567967106790478)",13
274,"(-1.6173183652794503, 7.004896163053303)",3
275,"(-8.87411090649982, 2.6752427028764147)",17
276,"(-0.8058453857212667, 7.710035746255452)",3
277,"(-1.2545843895700863, 6.858241438601624)",11
278,"(7.730024520188124, 6.123483197325895)",10
279,"(2.4741077126854236, 0.22035900475255898)",18
280,"(-7.946809011319852, 9.710805742948015)",13
281,"(7.525333000793678, 7.418752453761223)",9
282,"(3.2523856451786415, 9.178753047442477)",6
283,"(6.254905964925884, 5.821211616367148)",9
284,"(-0.07669843200580051, -1.4602555842722462)",14
285,"(9.943428155380712, 6.066844243156715)",10
286,"(5.514537236088331, -0.4784629251438821)",5
287,"(2.317277188683329, 9.59416341885547)",6
288,"(7.616929993408292, 0.20078255704474746)",5
289,"(-9.660473893495983, -8.790656929467108)",7
290,"(8.406938879114103, -0.520759402561449)",4
291,"(-9.12913902336308, 2.7370271344605492)",17
292,"(9.699780563070567, 5.138328531873021)",10
293,"(-4.523047560054149, 5.6172131064590465)",15
294,"(6.015783920309493, 2.3286250923890606)",5
295,"(0.4550864437669342, 7.731323062872929)",3
296,"(5.761932630888014, -0.8938469057263982)",5
297,"(-7.100295642608142, 8.93701634635344)",13
298,"(8.875066823562703, -3.0678747018912644)",4
299,"(10.355668412468617, 3.4183168733230986)",19
300,"(1.0532793409115877, 8.59586698748297)",6
301,"(9.002356714783675, -2.465614206796318)",4
302,"(-9.022519725523466, 3.448890438099081)",12
303,"(4.562667886622881, 5.865678501040558)",9
304,"(1.5044073702401461, 1.5898709052444402)",18
305,"(-1.062607118486712, 5.075309795107804)",11
306,"(5.196277693931033, 0.7046178398187901)",5
307,"(-7.848220099234796, -8.031209875320508)",7
308,"(2.303695175024487, 0.1589806232747334)",1
309,"(0.18032998695242047, -0.4381474499685969)",14
310,"(5.638164756494265, 7.543788669066779)",9
311,"(0.6530624611861926, -0.5576221440069102)",1
312,"(-0.5535472523288145, 5.06236366169561)",11
313,"(-2.449828779137472, 1.486106343014675)",16
314,"(5.180137529387052, 1.7020496134265242)",5
315,"(-8.55415695554235, -10.126010114137303)",7
316,"(9.709381451515412, -1.3216287742593338)",4
317,"(9.397207591024257, -3.3861419834244897)",4
318,"(1.132064009278084, 5.823790844949134)",0
319,"(0.7960987182143411, 2.5000794614299666)",18
320,"(5.486569025681325, 6.6493562395418415)",9
321,"(-7.386824041177151, 10.211666530782136)",13
322,"(1.3898468262973218, 8.9390457698609)",6
323,"(1.8178527043744184, 0.6741787089868208)",1
324,"(-6.417202800366622, 9.972334647026194)",13
325,"(-7.733452413971362, 2.4979156843794885)",12
326,"(7.94573253895004, 4.1132039736364945)",19
327,"(-1.384079237768996, 6.8741163774970335)",3
328,"(5.779104502600061, 1.4260642640837617)",5
329,"(2.8375481310306627, -1.1863363993078075)",1
330,"(-2.2222691577035953, 2.178161693328507)",2
331,"(8.20422046206221, 5.503945635948295)",19
332,"(11.069780365702522, 5.783520363474819)",19
333,"(-0.9792309854936725, 3.216784695123744)",2
334,"(5.47872510121804, 5.646724556835326)",9
335,"(0.3119768999825827, 3.670976407933226)",2
336,"(2.022279075276916, 9.454225292427486)",6
337,"(-5.082762353932019, 10.42358248016237)",13
338,"(8.910471201712488, 2.6927421362544313)",19
339,"(2.208302291404985, 0.38450232076841906)",1
340,"(-10.411004289892139, 7.84174308772295)",8
341,"(11.25100383352639, 5.880349851146437)",10
342,"(0.5607290283366526, 6.255596302761853)",3
343,"(0.08308532896946663, 1.281400389939669)",16
344,"(-10.150280126483594, 2.655698252073285)",17
345,"(-3.7325303296732697, 5.152863352201507)",15
346,"(0.5766939608454822, 1.664949049318488)",18
347,"(-1.0320129368298587, 1.8697814456035151)",16
348,"(0.5493678048713229, 5.492206325609723)",11
349,"(10.086626536663704, -2.8789008493858494)",4
350,"(5.445506288266885, 6.381022336927693)",9
351,"(9.146889320618156, 4.982625728504177)",10
352,"(-8.455946356752447, -7.90651184993088)",7
353,"(-9.57563420653899, 2.0126460518756573)",17
354,"(-0.9022076554676617, -2.466459771404913)",14
355,"(-1.4844488097926507, 8.07261019328586)",3
356,"(-1.1714316957651612, 2.5278196150435726)",16
357,"(-10.728550517448795, 5.393202459373944)",8
358,"(-0.7829681897392795, 4.607678475132972)",11
359,"(2.0573260226335686, 5.876117644983615)",0
360,"(9.74003061932527, -1.983214918340592)",4
361,"(-4.287253681703966, 5.53770366456464)",15
362,"(3.888337923238753, 1.0498483753925099)",5
363,"(-0.5699191816138911, 8.571815850347416)",3
364,"(-11.549471476718502, 7.368736084962061)",8
365,"(-0.7768843095730026, 2.515298650842566)",16
366,"(-8.066621501749108, 5.352171058480935)",8
367,"(0.30006052651713633, 0.19198380450638264)",16
368,"(5.863811932314025, -0.9335104730353232)",5
369,"(-2.3024745540907383, 6.178915322061583)",11
370,"(2.690860558753998, 8.211483565584878)",6
371,"(-0.29386317517573374, 6.659299634647272)",11
372,"(4.081041274145777, 9.0786089352363)",9
373,"(0.9267339766513213, 4.541186176970787)",0
374,"(-7.418328070947095, -7.508391965997385)",7
375,"(9.971750895743464, -2.5825946131753237)",4
376,"(4.22903432493826, 7.909124485603709)",9
377,"(7.253831497429385, 4.679642790795687)",19
378,"(1.6370579895299304, 4.391096016218059)",11
379,"(9.400577639948596, -1.504299283864464)",4
380,"(-9.138150824462418, -0.32474458049784527)",17
381,"(-0.5118360940860333, 7.682185962549076)",3
382,"(8.547882528922134, 5.146008728871524)",10
383,"(10.358489964904596, -2.11475618722392)",4
384,"(8.418181320917096, 7.3299007243970875)",10
385,"(-10.223210292196843, 4.430129172166095)",17
386,"(-3.5996145574825866, 3.399231140684381)",2
387,"(8.416691284997247, -2.83073421465514)",4
388,"(-8.853259269474364, -9.947257906207755)",7
389,"(0.13949903589350676, 5.916515922200476)",0
390,"(-6.544173379495282, 2.847486125478009)",12
391,"(1.616401604644087, 2.686831283137556)",0
392,"(8.590579827393302, -1.2840482716131583)",4
393,"(-4.022370356329098, 6.421232348329852)",15
394,"(-8.740548784170896, 1.760253464180228)",17
395,"(-8.613326633505723, 6.358780516819948)",8
396,"(-0.3886712305942019, 6.148338496604438)",11
397,"(1.2153571589200942, 3.6958998811664356)",0
398,"(1.006490336394673, 1.067202097659218)",1
399,"(-8.34450852402772, 8.784782873088)",13
400,"(0.23151525649805516, 3.4773487887893757)",0
401,"(9.81962681675069, 7.068559163183828)",10
402,"(-0.2286758028282836, 6.335606492331553)",6
403,"(9.551750275873868, -4.13881014699574)",4
404,"(-0.37720024169886984, 1.7265766303469694)",16
405,"(1.7857258069137025, 1.4391026394741173)",18
406,"(-7.634515400584859, 2.0851712389460446)",12
407,"(0.041824829288671816, 8.081871621333134)",3
408,"(-0.706663377900617, 1.4193997470450956)",2
409,"(7.212064298990967, 4.267136845805008)",19
410,"(6.267494050149357, 8.041074979140765)",9
411,"(-7.3399735984632795, 4.079139468284362)",12
412,"(1.5550081668513944, 1.8171516512955217)",18
413,"(-9.620458084750762, 3.451914564569795)",17
414,"(-10.040264297335806, 6.334890553777617)",8
415,"(0.6659592289672785, 4.40854237171062)",0
416,"(-10.19705667663308, 7.925199490854082)",8
417,"(-2.0608243834407927, 2.915067479317463)",2
418,"(-10.34965873591046, 1.5019307260333692)",17
419,"(-8.808480438725315, 1.4769078490485885)",12
420,"(8.345302323323384, 7.898727406622196)",10
421,"(5.057701063536852, 6.154036165458793)",9
422,"(-2.2929297954975825, 6.055440202267991)",11
423,"(9.334943843195573, 5.098562660926748)",19
424,"(-7.571951300943953, 9.9550516225976)",13
425,"(3.4142971736815193, 1.1378614282427586)",1
426,"(-0.187721930981946, 8.02880026491011)",6
427,"(-8.089752811627976, 4.300092445855548)",12
428,"(-4.775434797018279, -8.242372274139306)",7
429,"(-6.507064167508698, 5.721773941389881)",15
430,"(-1.232287553216715, 5.87831665427894)",11
431,"(8.835879665823844, -1.0339538736456588)",4
432,"(-3.456250246171112, 7.542387624204424)",3
433,"(1.8992131543272717, 8.300788101607663)",6
434,"(-7.559698664597441, 10.971518141585339)",13
435,"(-6.817907115804542, 6.739847625686679)",13
436,"(1.7244654296321529, 8.693859899373553)",6
437,"(0.25908442242304575, 0.7018731349916241)",14
438,"(5.707318843824091, 5.768685980953768)",9
439,"(-3.9883906159735956, 6.210565157844358)",15
440,"(6.146556563184, 3.0130449621998836)",5
441,"(7.808038725850235, 4.251279998190798)",19
442,"(-4.065491207612482, 5.900691080226535)",15
443,"(-5.251570287335094, 6.050225746200221)",15
444,"(9.965866396417194, 1.8605564091467595)",19
445,"(2.5265957833773043, 2.696565326912427)",18
446,"(-9.997947639527439, -7.9847058778404385)",7
447,"(-10.901281953653772, 6.933868155251385)",8
448,"(-9.495500157479134, 4.073363078834113)",17
449,"(-7.887301358718459, 1.6095498592670736)",12
450,"(2.9617632971487957, 1.8155565215605816)",18
451,"(1.065640265035149, 4.688964789685336)",11
452,"(7.536610622563107, 2.9632119519718407)",19
453,"(1.1287322808494347, 1.0661888620584323)",1
454,"(2.788227787841667, 3.080200410128058)",18
455,"(-0.5099790327266911, 2.220638540989124)",2
456,"(-9.13776390914757, -7.260642647629496)",7
457,"(-3.221945183194805, 4.139366618622018)",2
458,"(1.5493903746567457, 7.628112247230583)",6
459,"(-6.964472241425099, 8.595060202939681)",13
460,"(-1.057668009114984, -1.8553847565446242)",14
461,"(1.247626861982861, -2.756755290661158)",14
462,"(-7.828509069273986, 2.78338236734171)",12
463,"(-0.26681460416799796, 2.07549213455809)",2
464,"(1.189750127456664, 3.0952136737151688)",0
465,"(4.947156881136737, 1.0218407674254186)",5
466,"(-1.6379890505525243, 5.843343765387379)",11
467,"(8.928492896427997, 5.073792428746325)",10
468,"(-9.531577196102873, 3.2530272086757743)",17
469,"(-1.3499249877135953, 3.7466095737539042)",2
470,"(1.6559795195667948, 3.9179558273368884)",0
471,"(10.545383319497718, 7.272738093963189)",10
472,"(0.09418796310287947, 9.201092442657611)",3
473,"(7.900616830453884, 4.775664809950225)",19
474,"(-10.213166757502355, 3.457899039929835)",17
475,"(0.33191304264320154, 1.1122028141602955)",1
476,"(-8.74321746187097, 8.623009048069118)",13
477,"(-8.469522670294717, 8.07699047105334)",8
478,"(7.865880658148414, -2.329132331902975)",4
479,"(1.2473610607623558, 5.440234954499905)",0
480,"(2.3939684774517205, 2.6116544473948067)",18
481,"(-8.735899186066133, 3.891695428406278)",12
482,"(-8.099884444485637, 3.0214366200757268)",12
483,"(8.768042545172085, 5.59031204725979)",10
484,"(2.0151177033165504, 0.6212425921117786)",1
485,"(1.5133046262211498, 4.01695211925383)",0
486,"(-1.445676627558535, 5.360957262978944)",11
487,"(-9.200162312171905, 2.2177033476711676)",17
488,"(0.39906215083375773, 5.31037309372462)",11
489,"(0.6445172865962095, 9.014145460072875)",6
490,"(-1.1511355150105171, 5.449067240783468)",11
491,"(6.081331236658479, 2.196989129646427)",5
492,"(-6.681174320022004, 5.127628668964082)",15
493,"(-0.38682173228900235, 6.939020383881397)",11
494,"(6.2571842182262465, 9.071142213454614)",9
495,"(-9.872663176198632, 7.721277808702414)",8
496,"(-6.428758319028876, 6.218996933848853)",13
497,"(-0.014569109327733754, -2.0816866646521066)",14
498,"(-1.1061295395793556, 1.5632144120927036)",16
499,"(-0.8410950638108141, 10.109726190001377)",6
500,"(-3.0601847195599357, 5.522916227334157)",11
501,"(-2.0033641929008033, 8.760295961817839)",3
502,"(-3.063063279695744, 4.795872888072266)",15
503,"(5.2228562507571965, 5.76945781669234)",9
504,"(-2.539572347120584, 6.099745926181515)",11
505,"(0.14437468897309658, 0.865209803028094)",16
506,"(-7.894017938756754, 2.2011206955387914)",12
507,"(-0.650051859280335, 4.168964876354036)",0
508,"(2.102457098047414, 8.01667671922959)",6
509,"(-6.840901832046742, 9.310993587619318)",13
510,"(-6.012936380146083, 9.671015865888606)",13
511,"(-1.399192564676309, 6.755794682733279)",3
512,"(-9.365188493082623, 5.6855840467845935)",8
513,"(7.470335694146586, 3.965163307597984)",19
514,"(5.987732649515728, -0.12276319850455042)",5
515,"(-8.663171229417044, 7.037001231601688)",8
516,"(4.860609124411557, 10.060965493793756)",9
517,"(8.88376593316961, 5.309668988824974)",19
518,"(0.4350023882381421, 7.765055671247352)",6
519,"(2.2937293982532614, 4.647446045682982)",18
520,"(-9.026843775053344, 6.606221545543878)",8
521,"(1.7069071456105092, 1.6523850714365564)",18
522,"(-3.224637871209333, 2.6687688775525267)",2
523,"(10.172523300029106, -3.20357665174587)",4
524,"(-2.0508651060568255, 7.6006142904732625)",3
525,"(5.751265688840901, 8.55748492313727)",9
526,"(-1.3695863948663918, 4.609524461919199)",2
527,"(-9.107466594372212, 5.673279100846525)",8
528,"(9.57259159431286, -4.553597650016355)",4
529,"(-4.931002369961878, 5.698723338911835)",15
530,"(6.64180382053016, 1.8961473770644122)",5
531,"(1.5307154902138869, 2.630761032952596)",18
532,"(1.3703531188438978, -2.1435760514627935)",14
533,"(-8.695958692304657, 2.5503948943090036)",17
534,"(-0.7740981553893269, 1.135936503970236)",16
535,"(3.4196485050502945, 1.8066937217812291)",5
536,"(-1.5164529826337785, 5.566732812633774)",11
537,"(1.1986024410440572, 3.5937270183480727)",18
538,"(0.9979256804245267, 9.227269759232641)",6
539,"(-0.6631455782131713, 2.741788753830163)",2
540,"(-0.8908546658521641, 8.686458173350264)",6
541,"(6.036630391264789, 0.887395403073712)",5
542,"(2.880145845527409, 3.6066768445281134)",18
543,"(-0.08818536043617597, 7.437004462902525)",3
544,"(0.7531619701918995, -3.0974162493436355)",14
545,"(-1.5796999651947126, 2.675793550254204)",2
546,"(-1.4637355479576137, 7.636895080217574)",3
547,"(-3.032562625520513, 8.131434448763665)",3
548,"(1.6871556719362673, 6.9105825000933185)",6
549,"(-9.944865010178248, -9.101785219906247)",7
550,"(-3.097430234772641, 2.2677836524664676)",16
551,"(10.212471132169258, 6.199816589049437)",10
552,"(-1.5050451736507309, -2.6797896106047343)",14
553,"(-1.360763822476597, 6.447450246514482)",11
